Field,FieldValueExport,year,CH,
typ,aktiv,1998,2138,
typ,vds,1998,1951,
typ,techadm,1998,,
typ,telefonbuch,1998,,
typ,aktiv,1999,2046,
typ,vds,1999,1630,
typ,techadm,1999,,
typ,telefonbuch,1999,,
typ,aktiv,2000,2430,
typ,vds,2000,1538,
typ,techadm,2000,,
typ,telefonbuch,2000,,
typ,aktiv,2001,2996,
typ,vds,2001,1899,
typ,techadm,2001,,
typ,telefonbuch,2001,,
typ,aktiv,2002,2881,
typ,vds,2002,3565,
typ,techadm,2002,,
typ,telefonbuch,2002,,
typ,aktiv,2003,2928,
typ,vds,2003,3815,
typ,techadm,2003,,
typ,telefonbuch,2003,,
typ,aktiv,2004,2369,
typ,vds,2004,5187,
typ,techadm,2004,,
typ,telefonbuch,2004,,
typ,aktiv,2005,2111,
typ,vds,2005,4813,
typ,techadm,2005,1735,
typ,telefonbuch,2005,,
typ,aktiv,2006,1965,
typ,vds,2006,4279,
typ,techadm,2006,1870,
typ,telefonbuch,2006,,
typ,aktiv,2007,2043,
typ,vds,2007,4848,
typ,techadm,2007,1986,
typ,telefonbuch,2007,,
typ,aktiv,2008,2272,
typ,vds,2008,5298,
typ,techadm,2008,2806,
typ,telefonbuch,2008,,
typ,aktiv,2009,2610,
typ,vds,2009,5575,
typ,techadm,2009,2979,
typ,telefonbuch,2009,,
typ,aktiv,2010,2798,
typ,vds,2010,5330,
typ,techadm,2010,3202,
typ,telefonbuch,2010,190866,
typ,aktiv,2011,2699,
typ,vds,2011,5758,
typ,techadm,2011,3918,
typ,telefonbuch,2011,175504,
typ,aktiv,2012,3233,
typ,vds,2012,6960,
typ,techadm,2012,4775,
typ,telefonbuch,2012,202579,
typ,aktiv,2013,3945,
typ,vds,2013,6915,
typ,techadm,2013,5155,
typ,telefonbuch,2013,191010,
typ,facebook,2013,79,
typ,microsoft,2012,148,
typ,microsoft,2013,242,
