Field,FieldValue,Year,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,BA,CH
art,internet,2011,0,0,0,2,7,0,0,1,0,0,1,5,1,0,0,7,0,0,0,1,0,0,2,1,0,5,5,38
art,post,2011,0,0,0,5,0,0,5,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,3,0,0,1,0,22
art,telefon,2011,383,0,10,699,582,321,335,2272,10,100,53,244,294,19,35,487,51,205,93,684,974,5,1092,202,39,2253,225,11667
art,notsuche,2011,37,0,3,42,19,2,18,23,4,13,2,8,17,0,1,13,0,7,27,15,37,1,26,60,5,41,7,428
art,antennensuchlauf,2011,15,0,0,14,0,0,0,1,0,3,27,27,42,0,0,30,9,11,15,0,6,0,18,0,0,0,0,218
technologie,festnetz,2011,9,0,0,30,13,24,6,62,2,11,2,19,36,5,0,41,0,8,7,22,31,4,42,4,0,129,46,553
technologie,internet,2011,0,0,0,2,7,0,0,1,0,0,1,5,1,0,0,7,0,0,0,1,0,0,2,1,0,5,5,38
technologie,mobil,2011,426,0,13,725,588,299,347,2234,12,105,80,260,317,14,36,489,60,215,128,677,986,2,1094,258,44,2165,186,11760
technologie,post,2011,0,0,0,5,0,0,5,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,3,0,0,1,0,22
typ,aktiv,2011,70,0,4,132,123,40,49,588,0,11,4,62,49,1,0,119,3,34,39,129,61,0,263,66,11,754,86,2698
typ,vds,2011,243,0,5,367,157,160,270,1530,10,93,45,195,268,17,17,340,45,84,68,66,222,5,677,120,20,628,106,5758
typ,techadm,2011,122,0,4,263,328,123,39,180,4,12,34,27,37,1,19,84,12,105,28,506,734,1,201,77,13,918,45,3917
deliktegruppe,buepf,2011,63,0,5,66,29,22,33,78,4,17,2,13,25,0,2,30,14,17,34,44,94,4,65,70,7,96,29,863
deliktegruppe,diverse,2011,24,0,0,23,42,3,41,139,0,0,10,13,5,0,0,8,0,0,0,15,179,0,19,6,12,20,3,562
deliktegruppe,drogen,2011,119,0,4,277,232,94,92,963,3,21,4,118,155,2,0,167,16,135,14,89,430,0,507,115,21,1028,12,4618
deliktegruppe,drohung,2011,47,0,0,36,6,10,4,57,3,2,0,32,57,0,0,14,1,10,4,6,23,0,40,1,0,41,15,409
deliktegruppe,finanz,2011,6,0,2,16,0,5,4,2,0,0,2,0,14,0,0,3,0,3,0,0,39,0,13,0,0,48,38,195
deliktegruppe,gewalt,2011,28,0,0,35,7,18,22,199,0,55,1,15,28,0,6,56,2,13,20,89,23,0,60,3,1,103,12,796
deliktegruppe,oeFrieden,2011,17,0,0,33,3,17,6,75,0,0,1,0,0,0,0,1,0,2,19,7,0,0,54,6,0,2,89,332
deliktegruppe,sex,2011,9,0,1,15,9,4,0,123,0,1,3,11,6,0,0,24,0,0,1,0,9,0,51,8,1,28,0,304
deliktegruppe,staat,2011,14,0,0,26,6,18,10,38,0,1,0,4,0,1,0,26,0,1,3,52,9,0,9,1,1,20,29,269
deliktegruppe,vermoegen,2011,108,0,1,235,274,132,146,624,4,19,60,78,64,16,28,214,27,42,40,399,211,2,323,53,1,914,10,4025
schwerestraftaten,paedo,2011,1,0,0,7,2,0,0,26,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11,3,0,5,0,57
schwerestraftaten,krimorg,2011,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,71,149
schwerestraftaten,terror,2011,16,0,0,37,7,29,4,9,0,0,0,0,0,0,0,26,0,0,0,8,0,0,5,4,0,6,1,152
schwerestraftaten,menschenhandel,2011,0,0,0,6,0,0,0,19,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,48
schwerestraftaten,nachrichtendienst,2011,35,0,2,36,16,17,18,75,0,5,0,4,7,0,1,20,14,11,6,61,41,3,42,10,0,52,52,528
schwerestraftaten,geldwaesche,2011,6,0,2,11,0,5,4,2,0,0,0,0,14,0,0,3,0,3,0,0,28,0,9,0,0,16,35,138
schwerestraftaten,paedo_prozent,2011,0.2,0,0,0.9,0.3,0,0,1.1,0,0,1.2,0,0.3,0,0,0,0,0,0,0,0,0,1,1.1,0,0.2,0,0.5
schwerestraftaten,krimorg_prozent,2011,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,30,1.2
schwerestraftaten,terror_prozent,2011,3.7,0,0,4.9,1.2,9,1.1,0.4,0,0,0,0,0,0,0,4.8,0,0,0,1.1,0,0,0.4,1.5,0,0.3,0.4,1.2
schwerestraftaten,menschenhandel_prozent,2011,0,0,0,0.8,0,0,0,0.8,0,0,0,4.6,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0.3,0,0.4
schwerestraftaten,nachrichtendienst_prozent,2011,8,0,15.4,4.7,2.6,5.3,5,3.3,0,4.3,0,1.4,2,0,2.8,3.7,23.3,4.9,4.4,8.7,4,50,3.7,3.8,0,2.3,21.9,4.3
schwerestraftaten,geldwaesche_prozent,2011,1.4,0,15.4,1.4,0,1.5,1.1,0.1,0,0,0,0,4,0,0,0.6,0,1.3,0,0,2.8,0,0.8,0,0,0.7,14.8,1.1
